student_id,name,registration_date,course,gender,date_of_birth,address,cc,cellphone
1,Gustavo de Cruz,2024-04-14,"Pós graduação Avaliação e Intervenção com famílias em crise, risco e perigo 2ª Edição",F,1994-12-25,"Alameda Cruz, S/N 4442-619 Fundão",235542522,737724732
2,Marta Sousa,2024-03-23,1º Ciclo de Gestão,M,2006-03-26,"Largo da Conceição, 891 5515-597 Costa da Caparica",898769325,31106727
3,António da Andrade,2023-09-04,Ano Zero Área de Jornalismo,M,1995-12-06,"Travessa Alícia Fernandes, 26 4738-944 Loures",988568795,983965556
4,Tatiana Reis-Melo,2024-05-10,Ano Zero Plano de Estudos III ( Gestão de Recursos Humanos)v,M,1996-02-17,"Alameda da Graça, 64 9541-710 Santana",81170948,871540397
5,Bárbara Gonçalves,2023-09-10,Ano Zero Área de Design,M,1994-06-10,"Av de Esteves, 73 4811-892 Porto Santo",256874345,850172040
6,Andreia Maia,2023-08-19,1º Ciclo de Informática,M,1993-05-19,"R. do Carvão, 26 6837-057 Mêda",574628927,724330349
7,Mateus Amaral,2023-12-24,Ano Zero Plano de Estudos I (Comunicação Empresarial),F,1997-02-24,"Praça Carvalho, 737 3342-364 Peniche",415841754,250650946
8,Letícia Moreira,2023-12-05,1º Ciclo de Comunicação Empresarial,F,1989-07-15,"Av de Almeida, 13 4886-876 Maia",749535052,285449958
9,Ivo Henriques,2024-04-25,1º Ciclo de Gestão de Recursos Humanos,M,1995-11-19,"Alameda de Eça de Queirós, 15 1055-805 Setúbal",274694267,249435031
10,Flor Abreu,2023-11-24,1º Ciclo de Informática,F,1996-12-06,"Travessa Baptista, 76 2549-402 Leiria",629892378,957596935
11,Álvaro Sá,2024-02-07,Ano Zero Plano de Estudos III ( Gestão de Recursos Humanos)v,M,2004-12-07,"Rua do Seminário, 9 1455-820 Albufeira",120074007,47839775
12,Cristiano da Pinho,2024-03-17,Ano Zero Plano de Estudos I (Comunicação Empresarial),F,2002-02-21,"Travessa Fonseca, 39 8702-287 Albufeira",70553884,300085596
13,Patrícia Mendes,2023-06-21,Ano Zero Plano de Estudos Único (Informática),F,1999-07-26,"Avenida de Esteves, 5 2176-607 Guimarães",246450151,466359668
14,Camila Assunção,2023-06-15,2º Ciclo de Psicologia,F,2003-03-16,"Alameda Alice Barbosa, 1 3333-897 Praia da Vitória",715426344,491889154
15,Joel Ribeiro,2024-05-08,"Pós graduação Avaliação e Intervenção com famílias em crise, risco e perigo 2ª Edição",M,1999-03-22,"Av Santos, 85 5957-806 Lourosa",52685357,977770837
16,Laura Domingues,2024-03-11,Ano Zero Plano de Estudos Único (Informática),M,2002-02-11,"Largo Íris Branco, 8 2923-531 Lourosa",599169743,970427278
17,Alice Neto,2023-12-23,Pós graduação Psicoterapia Psicanalítica – 7ª edição,M,2001-08-06,"R. Duarte Moura, 17 7782-680 Serpa",238912716,827676549
18,Noah Leal,2023-06-23,1º Ciclo de Comunicação Empresarial,M,1999-09-06,"Av de Araújo, 909 5799-425 Santiago do Cacém",581870593,351977959
19,Filipe Guerreiro,2024-05-09,2º Ciclo de Serviço Social,M,1997-05-14,"Alameda de Moura, 77 6625-409 Montijo",383686000,264306266
20,Joana Sá,2023-12-08,Ano Zero Área de Design,M,1990-07-25,"Largo Mia Amaral, 10 4630-667 Montemor-o-Novo",595810260,665305615
21,Leonor Fernandes,2024-03-16,Ano Zero Área de Design,M,1999-04-14,"Avenida Mateus Carvalho, S/N 7037-337 Porto Santo",683548846,613796043
